Errors,LocalTime,HYD_GET_Home_Racing,HYD_GET_Register,HYDRA_GET_RacingScheduleTomorrow,HYD_GET_Home_Sports,HYD_GET_Betting_AustralianRules_AFL,HYDRA_GET_RacingScheduleToday
0,1534344681746.0,1125.0,0,0,0,0,0
0,1534344686535.0,0,83.0,0,0,0,0
0,1534344686746.0,522.0,0,0,0,0,0
0,1534344691493.0,0,0,1013.0,0,0,0
0,1534344691746.0,184.0,0,0,0,0,0
0,1534344692746.0,184.0,0,0,0,0,0
0,1534344693535.0,0,233.0,0,0,0,0
0,1534344696286.0,0,0,0,0,5905.0,0
0,1534344697234.0,0,0,0,1200.0,0,0
0,1534344697535.0,0,163.0,0,0,0,0
0,1534344698746.0,285.0,0,0,0,0,0
0,1534344701234.0,0,0,0,285.0,0,0
0,1534344702493.0,0,0,186.0,0,0,0
0,1534344702535.0,0,76.0,0,0,0,0
0,1534344704702.0,0,0,0,0,0,410.0
0,1534344704746.0,323.0,0,0,0,0,0
0,1534344705493.0,0,0,301.0,0,0,0
0,1534344706286.0,0,0,0,0,983.0,0
0,1534344707234.0,0,0,0,854.0,0,0
0,1534344708746.0,160.0,0,0,0,0,0
0,1534344709493.0,0,0,151.0,0,0,0
0,1534344709746.0,188.0,0,0,0,0,0
0,1534344711234.0,0,0,0,824.0,0,0
0,1534344711286.0,0,0,0,0,1715.0,0
0,1534344711535.0,0,69.0,0,0,0,0
0,1534344713234.0,0,0,0,221.0,0,0
0,1534344714535.0,0,68.0,0,0,0,0
0,1534344714702.0,0,0,0,0,0,187.0
0,1534344715702.0,0,0,0,0,0,173.0
0,1534344715746.0,212.0,0,0,0,0,0
0,1534344716535.0,0,84.0,0,0,0,0
0,1534344716746.0,878.0,0,0,0,0,0
0,1534344717746.0,373.0,0,0,0,0,0
0,1534344718535.0,0,56.0,0,0,0,0
0,1534344719234.0,0,0,0,423.0,0,0
0,1534344720234.0,0,0,0,267.0,0,0
0,1534344720746.0,237.0,0,0,0,0,0
0,1534344721535.0,0,72.0,0,0,0,0
0,1534344722286.0,0,0,0,0,1603.0,0
0,1534344722746.0,267.75,0,0,0,0,0
0,1534344723286.0,0,0,0,0,970.0,0
0,1534344724234.0,0,0,0,836.0,0,0
0,1534344724535.0,0,67.0,0,0,0,0
0,1534344725234.0,0,0,0,215.0,0,0
0,1534344726286.0,0,0,0,0,1672.0,0
0,1534344726746.0,157.0,0,0,0,0,0
0,1534344727702.0,0,0,0,0,0,353.6
0,1534344728535.0,0,55.0,0,0,0,0
0,1534344728746.0,258.3,0,0,0,0,0
0,1534344729234.0,0,0,0,689.0,0,0
0,1534344730702.0,0,0,0,0,0,292.0
0,1534344730746.0,246.0,0,0,0,0,0
0,1534344731746.0,145.0,0,0,0,0,0
0,1534344732286.0,0,0,0,0,914.0,0
0,1534344732746.0,195.0,0,0,0,0,0
0,1534344733746.0,251.35,0,0,0,0,0
0,1534344734234.0,0,0,0,414.0,0,0
0,1534344734702.0,0,0,0,0,0,243.0
0,1534344734746.0,221.0,0,0,0,0,0
0,1534344735535.0,0,51.0,0,0,0,0
0,1534344735746.0,230.0,0,0,0,0,0
0,1534344736702.0,0,0,0,0,0,233.0
0,1534344738286.0,0,0,0,0,1612.0,0
0,1534344738535.0,0,117.0,0,0,0,0
0,1534344738702.0,0,0,0,0,0,161.0
0,1534344738746.0,177.0,0,0,0,0,0
0,1534344739234.0,0,0,0,423.0,0,0
0,1534344739746.0,237.0,0,0,0,0,0
0,1534344740234.0,0,0,0,297.0,0,0
0,1534344741286.0,0,0,0,0,973.0,0
0,1534344741702.0,0,0,0,0,0,175.0
0,1534344741746.0,302.0,0,0,0,0,0
0,1534344742535.0,0,50.0,0,0,0,0
0,1534344743234.0,0,0,0,235.5,0,0
0,1534344743746.0,180.0,0,0,0,0,0
0,1534344744286.0,0,0,0,0,802.0,0
0,1534344744535.0,0,61.0,0,0,0,0
0,1534344744746.0,148.0,0,0,0,0,0
0,1534344745234.0,0,0,0,254.0,0,0
0,1534344745286.0,0,0,0,0,1017.0,0
0,1534344746234.0,0,0,0,289.7,0,0
0,1534344747234.0,0,0,0,194.0,0,0
