Errors,LocalTime,GET_Token_wCredentials,IDM_POST_RefreshToken,IDM_POST_Totp,IDM_POST_TotpStatus,IDM_POST_ResetPassword,IDM_POST_ContactOptions,IDM_POST_Oxitoken,IDM_POST_ChangePassword,IDM_POST_CheckUsername
0,1534344682230.0,666.0,0,0,0,0,0,0,0,0
0,1534344683904.0,0,428.0,0,0,0,0,0,0,0
0,1534344688230.0,713.0,0,0,0,0,0,0,0,0
0,1534344690383.0,0,0,512.0,0,0,0,0,0,0
0,1534344691915.0,0,0,0,416.0,0,0,0,0,0
0,1534344693324.0,0,0,0,0,848.0,0,0,0,0
0,1534344695172.0,0,0,0,0,0,505.0,0,0,0
0,1534344695230.0,558.0,0,0,0,0,0,0,0,0
0,1534344697235.0,0,0,0,0,0,0,253.0,0,0
0,1534344702230.0,557.0,0,0,0,0,0,0,0,0
0,1534344704242.0,0,0,0,0,0,0,0,601.0,0
0,1534344709230.0,597.0,0,0,0,0,0,0,0,0
0,1534344711172.0,0,0,0,0,0,390.0,0,0,0
0,1534344716230.0,605.0,0,0,0,0,0,0,0,0
0,1534344717904.0,0,399.0,0,0,0,0,0,0,0
0,1534344723230.0,623.0,0,0,0,0,0,0,0,0
0,1534344725235.0,0,0,0,0,0,0,245.0,0,0
0,1534344730230.0,617.0,0,0,0,0,0,0,0,0
0,1534344732324.0,0,0,0,0,0,0,0,0,370.0
0,1534344737230.0,609.0,0,0,0,0,0,0,0,0
0,1534344739235.0,0,0,0,0,0,0,264.0,0,0
0,1534344744230.0,646.0,0,0,0,0,0,0,0,0
0,1534344746172.0,0,0,0,0,0,515.0,0,0,0
