Errors,LocalTime,SBR_GET_NextEvents,SBR_GET_Events_$EventID_RacecardWithContext,SBR_GET_Events_Racecards,SBR_GET_AllRacing_$RaceDay,SBR_GET_FeaturedEvents
0,1534344682226.0,377.0,0,0,0,0
0,1534344685226.0,246.0,0,0,0,0
0,1534344686926.0,0,783.0,0,0,0
0,1534344689226.0,220.3,0,0,0,0
0,1534344689926.0,0,126.0,0,0,0
0,1534344691226.0,113.0,0,0,0,0
0,1534344692926.0,0,1693.0,0,0,0
0,1534344693226.0,257.0,0,0,0,0
0,1534344694973.0,0,0,353.0,0,0
0,1534344695226.0,111.0,0,0,0,0
0,1534344696226.0,118.0,0,0,0,0
0,1534344697226.0,223.0,0,0,0,0
0,1534344698226.0,110.0,0,0,0,0
0,1534344700226.0,113.0,0,0,0,0
0,1534344700926.0,0,749.0,0,0,0
0,1534344701226.0,229.0,0,0,0,0
0,1534344702226.0,115.7,0,0,0,0
0,1534344702926.0,0,349.0,0,0,0
0,1534344703226.0,113.0,0,0,0,0
0,1534344704226.0,112.0,0,0,0,0
0,1534344704926.0,0,546.0,0,0,0
0,1534344705226.0,272.0,0,0,0,0
0,1534344707226.0,108.0,0,0,0,0
0,1534344707926.0,0,614.0,0,0,0
0,1534344708226.0,108.0,0,0,0,0
0,1534344708926.0,0,412.0,0,0,0
0,1534344709226.0,219.2,0,0,0,0
0,1534344709926.0,0,122.0,0,0,0
0,1534344710926.0,0,751.0,0,0,0
0,1534344711226.0,108.0,0,0,0,0
0,1534344712226.0,111.0,0,0,0,0
0,1534344713226.0,220.3,0,0,0,0
0,1534344714226.0,114.0,0,0,0,0
0,1534344715226.0,121.9,0,0,0,0
0,1534344716226.0,107.0,0,0,0,0
0,1534344716926.0,0,237.0,0,0,0
0,1534344717226.0,458.0,0,0,0,0
0,1534344717926.0,0,670.0,0,0,0
0,1534344718226.0,108.0,0,0,0,0
0,1534344718926.0,0,428.0,0,0,0
0,1534344719226.0,499.9,0,0,0,0
0,1534344719926.0,0,236.0,0,0,0
0,1534344720226.0,226.95,0,0,0,0
0,1534344721226.0,228.0,0,0,0,0
0,1534344721926.0,0,839.0,0,0,0
0,1534344722226.0,221.4,0,0,0,0
0,1534344722926.0,0,658.85,0,0,0
0,1534344723226.0,108.0,0,0,0,0
0,1534344724226.0,115.0,0,0,0,0
0,1534344724926.0,0,650.0,0,0,0
0,1534344725226.0,228.0,0,0,0,0
0,1534344726226.0,117.4,0,0,0,0
0,1534344727226.0,113.65,0,0,0,0
0,1534344727926.0,0,231.25,0,0,0
0,1534344728226.0,114.2,0,0,0,0
0,1534344728926.0,0,1094.0,0,0,0
0,1534344729226.0,111.0,0,0,0,0
0,1534344729685.0,0,0,0,384.0,0
0,1534344729926.0,0,124.0,0,0,0
0,1534344730226.0,111.0,0,0,0,0
0,1534344732226.0,109.0,0,0,0,0
0,1534344732926.0,0,125.0,0,0,0
0,1534344733226.0,208.8,0,0,0,0
0,1534344733926.0,0,665.0,0,0,0
0,1534344734226.0,114.55,0,0,0,0
0,1534344734926.0,0,654.0,0,0,0
0,1534344735226.0,109.0,0,0,0,0
0,1534344735926.0,0,572.65,0,0,0
0,1534344735973.0,0,0,324.0,0,0
0,1534344736086.0,0,0,0,0,315.0
0,1534344736226.0,111.0,0,0,0,0
0,1534344736973.0,0,0,335.0,0,0
0,1534344737086.0,0,0,0,0,262.0
0,1534344737226.0,220.0,0,0,0,0
0,1534344738226.0,109.0,0,0,0,0
0,1534344739226.0,110.0,0,0,0,0
0,1534344739926.0,0,739.4,0,0,0
0,1534344740226.0,110.8,0,0,0,0
0,1534344741226.0,193.5,0,0,0,0
0,1534344741926.0,0,663.6,0,0,0
0,1534344742226.0,109.0,0,0,0,0
0,1534344742926.0,0,614.1,0,0,0
0,1534344743226.0,112.0,0,0,0,0
0,1534344745226.0,197.8,0,0,0,0
0,1534344745973.0,0,0,344.0,0,0
0,1534344746226.0,108.95,0,0,0,0
0,1534344746926.0,0,667.0,0,0,0
