Errors,LocalTime,IDM_POST_Register,GET_Token_wCredentials,ACC_POST_Limits,WLT_POST_Creditcards,WLT_POST_Creditcards_$PayMethodId_Deposit
0,1534344682257.0,1184.0,0,0,0,0
0,1534344684456.0,0,548.0,0,0,0
0,1534344686004.0,0,0,646.0,0,0
0,1534344687663.0,0,0,0,504.0,0
0,1534344689152.0,0,0,0,0,2071.0
0,1534344692152.0,0,0,0,0,2198.0
0,1534344695152.0,0,0,0,0,2051.0
0,1534344698152.0,0,0,0,0,2015.0
0,1534344701152.0,0,0,0,0,2068.0
0,1534344704152.0,0,0,0,0,1449.0
0,1534344704257.0,1511.0,0,0,0,0
0,1534344706152.0,0,0,0,0,2038.0
0,1534344706456.0,0,469.0,0,0,0
0,1534344708004.0,0,0,421.0,0,0
0,1534344709152.0,0,0,0,0,1963.0
0,1534344709663.0,0,0,0,331.0,0
0,1534344711152.0,0,0,0,0,1835.0
0,1534344712152.0,0,0,0,0,1807.0
0,1534344714152.0,0,0,0,0,1815.0
0,1534344716152.0,0,0,0,0,2091.0
0,1534344720152.0,0,0,0,0,1826.0
0,1534344722152.0,0,0,0,0,1395.0
0,1534344725152.0,0,0,0,0,1856.0
0,1534344727257.0,875.0,0,0,0,0
0,1534344728152.0,0,0,0,0,1762.0
0,1534344729456.0,0,747.0,0,0,0
0,1534344730152.0,0,0,0,0,1413.0
0,1534344731004.0,0,0,415.0,0,0
0,1534344732663.0,0,0,0,338.0,0
0,1534344733152.0,0,0,0,0,1878.9
0,1534344736152.0,0,0,0,0,1408.0
0,1534344738152.0,0,0,0,0,1835.0
0,1534344741152.0,0,0,0,0,1858.0
0,1534344744152.0,0,0,0,0,1850.0
