LocalTime,RPS,GET_Token_wCredentials,BB_GET_Favourites
1534344681784,0.2,0,0
1534344681784.0,0.2,1049.0,0
1534344682784,0.2,0,0
1534344683784,0.2,0,0
1534344683853.0,0.2,0,653.0
1534344684784,0.2,0,0
1534344685784,0.2,0,0
1534344686784,0.2,0,0
1534344687784,0.2,0,0
1534344688784,0.2,0,0
1534344689784,0.2,0,0
1534344690784,0.2,0,0
1534344691784,0.1,0,0
1534344692784,0.1,0,0
1534344693784,0.0,0,0
1534344694784,0.0,0,0
1534344695784,0.0,0,0
1534344696784,0.0,0,0
1534344697784,0.1,0,0
1534344697853.0,0.1,0,272.0
1534344698784,0.1,0,0
1534344699784,0.1,0,0
1534344700784,0.1,0,0
1534344701784,0.2,0,0
1534344701784.0,0.2,783.0,0
1534344702784,0.2,0,0
1534344703784,0.3,0,0
1534344703853.0,0.3,0,429.0
1534344704784,0.3,0,0
1534344705784,0.3,0,0
1534344706784,0.3,0,0
1534344707784,0.2,0,0
1534344708784,0.2,0,0
1534344709784,0.2,0,0
1534344710784,0.2,0,0
1534344711784,0.1,0,0
1534344712784,0.2,0,0
1534344712853.0,0.15,0,254.0
1534344713784,0.1,0,0
1534344714784,0.1,0,0
1534344715784,0.1,0,0
1534344716784,0.1,0,0
1534344717784,0.1,0,0
1534344718784,0.2,0,0
1534344718853.0,0.2,0,252.0
1534344719784,0.2,0,0
1534344720784,0.2,0,0
1534344721784,0.2,0,0
1534344722784,0.2,0,0
1534344722784.0,0.2,810.0,0
1534344723784,0.2,0,0
1534344724784,0.3,0,0
1534344724853.0,0.3,0,421.0
1534344725784,0.3,0,0
1534344726784,0.3,0,0
1534344727784,0.3,0,0
1534344728784,0.2,0,0
1534344729784,0.3,0,0
1534344729853.0,0.3,0,264.0
1534344730784,0.3,0,0
1534344731784,0.3,0,0
1534344732784,0.2,0,0
1534344733784,0.3,0,0
1534344733853.0,0.25,0,264.0
1534344734784,0.2,0,0
1534344735784,0.2,0,0
1534344736784,0.2,0,0
1534344737784,0.2,0,0
1534344738784,0.2,0,0
1534344739784,0.1,0,0
1534344740784,0.2,0,0
1534344740853.0,0.2,0,254.0
1534344741784,0.2,0,0
1534344742784,0.2,0,0
1534344743784,0.2,0,0
1534344743784.0,0.25,719.0,0
1534344744784,0.3,0,0
1534344744853.0,0.35,0,361.0
1534344745784,0.4,0,0
1534344745853.0,0.4,0,263.0
