LocalTime,RPS,SBR_GET_NextEvents,SBR_GET_Events_$EventID_RacecardWithContext,SBR_GET_Events_Racecards,SBR_GET_AllRacing_$RaceDay,SBR_GET_FeaturedEvents
1534344682226,0.7,0,0,0,0,0
1534344682226.0,0.7,377.0,0,0,0,0
1534344683226,0.7,0,0,0,0,0
1534344684226,0.7,0,0,0,0,0
1534344685226,0.7,0,0,0,0,0
1534344685226.0,0.7,246.0,0,0,0,0
1534344686226,0.7,0,0,0,0,0
1534344686926.0,0.7,0,783.0,0,0,0
1534344687226,0.7,0,0,0,0,0
1534344688226,0.7,0,0,0,0,0
1534344689226,0.7,0,0,0,0,0
1534344689226.0,0.7,220.3,0,0,0,0
1534344689926.0,0.7,0,126.0,0,0,0
1534344690226,0.7,0,0,0,0,0
1534344691226,0.7,0,0,0,0,0
1534344691226.0,0.7,113.0,0,0,0,0
1534344692226,0.7,0,0,0,0,0
1534344692926.0,0.75,0,1693.0,0,0,0
1534344693226,0.8,0,0,0,0,0
1534344693226.0,0.85,257.0,0,0,0,0
1534344694226,0.9,0,0,0,0,0
1534344694973.0,0.9,0,0,353.0,0,0
1534344695226,0.9,0,0,0,0,0
1534344695226.0,0.9,111.0,0,0,0,0
1534344696226,0.9,0,0,0,0,0
1534344696226.0,0.95,118.0,0,0,0,0
1534344697226,1.0,0,0,0,0,0
1534344697226.0,1.05,223.0,0,0,0,0
1534344698226,1.1,0,0,0,0,0
1534344698226.0,1.0,110.0,0,0,0,0
1534344699226,0.9,0,0,0,0,0
1534344700226,0.9,0,0,0,0,0
1534344700226.0,0.933,113.0,0,0,0,0
1534344700926.0,0.967,0,749.0,0,0,0
1534344701226,1.0,0,0,0,0,0
1534344701226.0,1.05,229.0,0,0,0,0
1534344702226,1.1,0,0,0,0,0
1534344702226.0,1.133,115.7,0,0,0,0
1534344702926.0,1.167,0,349.0,0,0,0
1534344703226,1.2,0,0,0,0,0
1534344703226.0,1.25,113.0,0,0,0,0
1534344704226,1.3,0,0,0,0,0
1534344704226.0,1.3,112.0,0,0,0,0
1534344704926.0,1.3,0,546.0,0,0,0
1534344705226,1.3,0,0,0,0,0
1534344705226.0,1.25,272.0,0,0,0,0
1534344706226,1.2,0,0,0,0,0
1534344707226,1.2,0,0,0,0,0
1534344707226.0,1.3,108.0,0,0,0,0
1534344707926.0,1.4,0,614.0,0,0,0
1534344708226,1.5,0,0,0,0,0
1534344708226.0,1.6,108.0,0,0,0,0
1534344708926.0,1.7,0,412.0,0,0,0
1534344709226,1.8,0,0,0,0,0
1534344709226.0,1.8,219.2,0,0,0,0
1534344709926.0,1.8,0,122.0,0,0,0
1534344710226,1.8,0,0,0,0,0
1534344710926.0,1.8,0,751.0,0,0,0
1534344711226,1.8,0,0,0,0,0
1534344711226.0,1.75,108.0,0,0,0,0
1534344712226,1.7,0,0,0,0,0
1534344712226.0,1.7,111.0,0,0,0,0
1534344713226,1.7,0,0,0,0,0
1534344713226.0,1.65,220.3,0,0,0,0
1534344714226,1.6,0,0,0,0,0
1534344714226.0,1.7,114.0,0,0,0,0
1534344715226,1.8,0,0,0,0,0
1534344715226.0,1.85,121.9,0,0,0,0
1534344716226,1.9,0,0,0,0,0
1534344716226.0,1.967,107.0,0,0,0,0
1534344716926.0,2.033,0,237.0,0,0,0
1534344717226,2.1,0,0,0,0,0
1534344717226.0,2.0,458.0,0,0,0,0
1534344717926.0,1.9,0,670.0,0,0,0
1534344718226,1.8,0,0,0,0,0
1534344718226.0,1.8,108.0,0,0,0,0
1534344718926.0,1.8,0,428.0,0,0,0
1534344719226,1.8,0,0,0,0,0
1534344719226.0,1.867,499.9,0,0,0,0
1534344719926.0,1.933,0,236.0,0,0,0
1534344720226,2.0,0,0,0,0,0
1534344720226.0,1.95,226.95,0,0,0,0
1534344721226,1.9,0,0,0,0,0
1534344721226.0,2.033,228.0,0,0,0,0
1534344721926.0,2.167,0,839.0,0,0,0
1534344722226,2.3,0,0,0,0,0
1534344722226.0,2.333,221.4,0,0,0,0
1534344722926.0,2.367,0,658.85,0,0,0
1534344723226,2.4,0,0,0,0,0
1534344723226.0,2.45,108.0,0,0,0,0
1534344724226,2.5,0,0,0,0,0
1534344724226.0,2.433,115.0,0,0,0,0
1534344724926.0,2.367,0,650.0,0,0,0
1534344725226,2.3,0,0,0,0,0
1534344725226.0,2.35,228.0,0,0,0,0
1534344726226,2.4,0,0,0,0,0
1534344726226.0,2.4,117.4,0,0,0,0
1534344727226,2.4,0,0,0,0,0
1534344727226.0,2.567,113.65,0,0,0,0
1534344727926.0,2.733,0,231.25,0,0,0
1534344728226,2.9,0,0,0,0,0
1534344728226.0,2.933,114.2,0,0,0,0
1534344728926.0,2.967,0,1094.0,0,0,0
1534344729226,3.0,0,0,0,0,0
1534344729226.0,2.95,111.0,0,0,0,0
1534344729685.0,2.9,0,0,0,384.0,0
1534344729926.0,2.85,0,124.0,0,0,0
1534344730226,2.8,0,0,0,0,0
1534344730226.0,2.75,111.0,0,0,0,0
1534344731226,2.7,0,0,0,0,0
1534344732226,2.4,0,0,0,0,0
1534344732226.0,2.433,109.0,0,0,0,0
1534344732926.0,2.467,0,125.0,0,0,0
1534344733226,2.5,0,0,0,0,0
1534344733226.0,2.6,208.8,0,0,0,0
1534344733926.0,2.7,0,665.0,0,0,0
1534344734226,2.8,0,0,0,0,0
1534344734226.0,2.933,114.55,0,0,0,0
1534344734926.0,3.067,0,654.0,0,0,0
1534344735226,3.2,0,0,0,0,0
1534344735226.0,3.26,109.0,0,0,0,0
1534344735926.0,3.32,0,572.65,0,0,0
1534344735973.0,3.38,0,0,324.0,0,0
1534344736086.0,3.44,0,0,0,0,315.0
1534344736226,3.5,0,0,0,0,0
1534344736226.0,3.5,111.0,0,0,0,0
1534344736973.0,3.5,0,0,335.0,0,0
1534344737086.0,3.5,0,0,0,0,262.0
1534344737226,3.5,0,0,0,0,0
1534344737226.0,3.25,220.0,0,0,0,0
1534344738226,3.0,0,0,0,0,0
1534344738226.0,2.95,109.0,0,0,0,0
1534344739226,2.9,0,0,0,0,0
1534344739226.0,3.033,110.0,0,0,0,0
1534344739926.0,3.167,0,739.4,0,0,0
1534344740226,3.3,0,0,0,0,0
1534344740226.0,3.6,110.8,0,0,0,0
1534344741226,3.9,0,0,0,0,0
1534344741226.0,4.033,193.5,0,0,0,0
1534344741926.0,4.167,0,663.6,0,0,0
1534344742226,4.3,0,0,0,0,0
1534344742226.0,4.267,109.0,0,0,0,0
1534344742926.0,4.233,0,614.1,0,0,0
1534344743226,4.2,0,0,0,0,0
1534344743226.0,3.95,112.0,0,0,0,0
1534344744226,3.7,0,0,0,0,0
1534344745226,3.7,0,0,0,0,0
1534344745226.0,3.667,197.8,0,0,0,0
1534344745973.0,3.633,0,0,344.0,0,0
1534344746226,3.6,0,0,0,0,0
1534344746226.0,3.6,108.95,0,0,0,0
1534344746926.0,3.6,0,667.0,0,0,0
