LocalTime,RPS,SBS_GET_NavHierarchy,SBS_GET_Competitions_$CompetitionID_Events_Outrights,SBS_GET_UpComingEvents,SBS_GET_Competitions_$GET_Competitions_$CompetitionID,SBS_GET_Competitions_$CompetitionId_Events,SBS_GET_Competitions_Events,SBS_GET_Competitions_$CompetitionId_Outrights,SBS_GET_Events_$EventId_SportCard,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets
1534344681707,0.4,0,0,0,0,0,0,0,0,0
1534344681707.0,0.4,586.0,0,0,0,0,0,0,0,0
1534344682707,0.4,0,0,0,0,0,0,0,0,0
1534344683707,0.4,0,0,0,0,0,0,0,0,0
1534344684707,0.4,0,0,0,0,0,0,0,0,0
1534344685707,0.4,0,0,0,0,0,0,0,0,0
1534344685707.0,0.4,396.0,0,0,0,0,0,0,0,0
1534344686707,0.4,0,0,0,0,0,0,0,0,0
1534344686707.0,0.4,285.0,0,0,0,0,0,0,0,0
1534344687707,0.4,0,0,0,0,0,0,0,0,0
1534344688707,0.4,0,0,0,0,0,0,0,0,0
1534344689707,0.4,0,0,0,0,0,0,0,0,0
1534344690707,0.4,0,0,0,0,0,0,0,0,0
1534344690707.0,0.4,390.0,0,0,0,0,0,0,0,0
1534344691707,0.4,0,0,0,0,0,0,0,0,0
1534344691707.0,0.4,227.0,0,0,0,0,0,0,0,0
1534344692707,0.4,0,0,0,0,0,0,0,0,0
1534344693707,0.4,0,0,0,0,0,0,0,0,0
1534344694707,0.4,0,0,0,0,0,0,0,0,0
1534344695707,0.4,0,0,0,0,0,0,0,0,0
1534344695707.0,0.5,389.0,0,0,0,0,0,0,0,0
1534344696707,0.6,0,0,0,0,0,0,0,0,0
1534344696707.0,0.6,227.0,0,0,0,0,0,0,0,0
1534344697103.0,0.6,0,371.0,0,0,0,0,0,0,0
1534344697707,0.6,0,0,0,0,0,0,0,0,0
1534344698707,0.6,0,0,0,0,0,0,0,0,0
1534344699707,0.6,0,0,0,0,0,0,0,0,0
1534344700707,0.6,0,0,0,0,0,0,0,0,0
1534344701103.0,0.6,0,350.0,0,0,0,0,0,0,0
1534344701707,0.6,0,0,0,0,0,0,0,0,0
1534344701707.0,0.7,284.0,0,0,0,0,0,0,0,0
1534344702103.0,0.8,0,225.0,0,0,0,0,0,0,0
1534344702707,0.9,0,0,0,0,0,0,0,0,0
1534344702707.0,0.9,280.9,0,0,0,0,0,0,0,0
1534344703707,0.9,0,0,0,0,0,0,0,0,0
1534344704707,0.9,0,0,0,0,0,0,0,0,0
1534344705707,0.9,0,0,0,0,0,0,0,0,0
1534344705707.0,0.85,392.0,0,0,0,0,0,0,0,0
1534344706707,0.8,0,0,0,0,0,0,0,0,0
1534344706707.0,0.95,279.2,0,0,0,0,0,0,0,0
1534344707707,1.1,0,0,0,0,0,0,0,0,0
1534344707707.0,1.133,230.85,0,0,0,0,0,0,0,0
1534344708455.0,1.167,0,0,232.0,0,0,0,0,0,0
1534344708707,1.2,0,0,0,0,0,0,0,0,0
1534344709688.0,1.2,0,0,0,398.0,0,0,0,0,0
1534344709707,1.2,0,0,0,0,0,0,0,0,0
1534344710707,1.2,0,0,0,0,0,0,0,0,0
1534344710707.0,1.233,395.0,0,0,0,0,0,0,0,0
1534344711455.0,1.267,0,0,226.0,0,0,0,0,0,0
1534344711707,1.3,0,0,0,0,0,0,0,0,0
1534344711707.0,1.333,319.0,0,0,0,0,0,0,0,0
1534344712103.0,1.367,0,222.0,0,0,0,0,0,0,0
1534344712707,1.4,0,0,0,0,0,0,0,0,0
1534344712707.0,1.433,279.75,0,0,0,0,0,0,0,0
1534344712957.0,1.467,0,0,0,0,449.0,0,0,0,0
1534344713707,1.5,0,0,0,0,0,0,0,0,0
1534344713707.0,1.5,303.0,0,0,0,0,0,0,0,0
1534344714707,1.5,0,0,0,0,0,0,0,0,0
1534344715707,1.5,0,0,0,0,0,0,0,0,0
1534344715707.0,1.5,386.0,0,0,0,0,0,0,0,0
1534344716707,1.5,0,0,0,0,0,0,0,0,0
1534344716707.0,1.5,279.8,0,0,0,0,0,0,0,0
1534344717707,1.5,0,0,0,0,0,0,0,0,0
1534344717707.0,1.55,279.9,0,0,0,0,0,0,0,0
1534344718707,1.6,0,0,0,0,0,0,0,0,0
1534344718707.0,1.6,280.75,0,0,0,0,0,0,0,0
1534344719707,1.6,0,0,0,0,0,0,0,0,0
1534344720707,1.6,0,0,0,0,0,0,0,0,0
1534344720707.0,1.6,410.0,0,0,0,0,0,0,0,0
1534344721455.0,1.6,0,0,230.0,0,0,0,0,0,0
1534344721707,1.6,0,0,0,0,0,0,0,0,0
1534344721707.0,1.6,279.0,0,0,0,0,0,0,0,0
1534344722455.0,1.6,0,0,227.0,0,0,0,0,0,0
1534344722707,1.6,0,0,0,0,0,0,0,0,0
1534344723103.0,1.64,0,226.0,0,0,0,0,0,0,0
1534344723271.0,1.68,0,0,0,0,0,256.0,0,0,0
1534344723455.0,1.72,0,0,231.0,0,0,0,0,0,0
1534344723688.0,1.76,0,0,0,223.0,0,0,0,0,0
1534344723707,1.8,0,0,0,0,0,0,0,0,0
1534344723707.0,1.85,280.0,0,0,0,0,0,0,0,0
1534344724392.0,1.9,0,0,0,0,0,0,265.0,0,0
1534344724688.0,1.95,0,0,0,221.0,0,0,0,0,0
1534344724707,2.0,0,0,0,0,0,0,0,0,0
1534344724707.0,2.0,223.0,0,0,0,0,0,0,0,0
1534344725707,2.0,0,0,0,0,0,0,0,0,0
1534344725707.0,1.95,489.0,0,0,0,0,0,0,0,0
1534344726707,1.9,0,0,0,0,0,0,0,0,0
1534344726707.0,1.95,284.0,0,0,0,0,0,0,0,0
1534344727707,2.0,0,0,0,0,0,0,0,0,0
1534344727707.0,2.0,278.7,0,0,0,0,0,0,0,0
1534344728707,2.0,0,0,0,0,0,0,0,0,0
1534344728707.0,2.05,277.3,0,0,0,0,0,0,0,0
1534344729707,2.1,0,0,0,0,0,0,0,0,0
1534344729707.0,2.1,276.0,0,0,0,0,0,0,0,0
1534344730707,2.1,0,0,0,0,0,0,0,0,0
1534344730707.0,2.1,387.0,0,0,0,0,0,0,0,0
1534344731707,2.1,0,0,0,0,0,0,0,0,0
1534344731707.0,2.0,283.75,0,0,0,0,0,0,0,0
1534344732707,1.9,0,0,0,0,0,0,0,0,0
1534344732707.0,1.9,272.4,0,0,0,0,0,0,0,0
1534344733455.0,1.9,0,0,232.0,0,0,0,0,0,0
1534344733707,1.9,0,0,0,0,0,0,0,0,0
1534344733707.0,1.967,317.0,0,0,0,0,0,0,0,0
1534344734455.0,2.033,0,0,228.0,0,0,0,0,0,0
1534344734707,2.1,0,0,0,0,0,0,0,0,0
1534344734707.0,2.133,282.7,0,0,0,0,0,0,0,0
1534344734957.0,2.167,0,0,0,0,224.0,0,0,0,0
1534344735707,2.2,0,0,0,0,0,0,0,0,0
1534344735707.0,2.3,386.0,0,0,0,0,0,0,0,0
1534344736252.0,2.4,0,0,0,0,0,0,0,265.0,0
1534344736707,2.5,0,0,0,0,0,0,0,0,0
1534344736707.0,2.4,228.6,0,0,0,0,0,0,0,0
1534344737492.0,2.3,0,0,0,0,0,0,0,0,233.0
1534344737707,2.2,0,0,0,0,0,0,0,0,0
1534344738103.0,2.2,0,221.0,0,0,0,0,0,0,0
1534344738707,2.2,0,0,0,0,0,0,0,0,0
1534344738707.0,2.3,279.9,0,0,0,0,0,0,0,0
1534344739455.0,2.4,0,0,227.0,0,0,0,0,0,0
1534344739707,2.5,0,0,0,0,0,0,0,0,0
1534344739707.0,2.55,277.9,0,0,0,0,0,0,0,0
1534344740392.0,2.6,0,0,0,0,0,0,220.0,0,0
1534344740688.0,2.65,0,0,0,515.0,0,0,0,0,0
1534344740707,2.7,0,0,0,0,0,0,0,0,0
1534344740707.0,2.733,394.0,0,0,0,0,0,0,0,0
1534344741455.0,2.767,0,0,225.0,0,0,0,0,0,0
1534344741707,2.8,0,0,0,0,0,0,0,0,0
1534344741707.0,2.8,273.3,0,0,0,0,0,0,0,0
1534344742392.0,2.8,0,0,0,0,0,0,221.0,0,0
1534344742688.0,2.8,0,0,0,281.0,0,0,0,0,0
1534344742707,2.8,0,0,0,0,0,0,0,0,0
1534344743707,2.6,0,0,0,0,0,0,0,0,0
1534344743707.0,2.6,222.0,0,0,0,0,0,0,0,0
1534344744707,2.6,0,0,0,0,0,0,0,0,0
1534344744707.0,2.65,291.0,0,0,0,0,0,0,0,0
1534344745392.0,2.7,0,0,0,0,0,0,226.0,0,0
1534344745455.0,2.75,0,0,320.05,0,0,0,0,0,0
1534344745707,2.8,0,0,0,0,0,0,0,0,0
1534344745707.0,2.775,388.0,0,0,0,0,0,0,0,0
1534344746103.0,2.75,0,227.0,0,0,0,0,0,0,0
1534344746688.0,2.725,0,0,0,220.0,0,0,0,0,0
1534344746707,2.7,0,0,0,0,0,0,0,0,0
1534344747271.0,2.7,0,0,0,0,0,268.0,0,0,0
1534344747707,2.7,0,0,0,0,0,0,0,0,0
1534344747707.0,2.7,276.0,0,0,0,0,0,0,0,0
