LocalTime,Users,GET_Token_wCredentials,HIST_GET_Bets_PENDING,HIST_GET_Transactions,HIST_GET_Bets_SETTLED,HIST_GET_$BetId,HIST_GET_$EventId
1534344682228,1.0,0,0,0,0,0,0
1534344682230.0,1.0,702.0,0,0,0,0,0
1534344683228,1.0,0,0,0,0,0,0
1534344683945.0,1.0,0,831.0,0,0,0,0
1534344684228,1.0,0,0,0,0,0,0
1534344685228,1.0,0,0,0,0,0,0
1534344686228,1.0,0,0,0,0,0,0
1534344687228,1.0,0,0,0,0,0,0
1534344688228,1.0,0,0,0,0,0,0
1534344689228,1.0,0,0,0,0,0,0
1534344690228,1.0,0,0,0,0,0,0
1534344691228,1.0,0,0,0,0,0,0
1534344692228,1.0,0,0,0,0,0,0
1534344692945.0,1.0,0,565.0,0,0,0,0
1534344693228,1.0,0,0,0,0,0,0
1534344694228,1.0,0,0,0,0,0,0
1534344695228,1.0,0,0,0,0,0,0
1534344696228,2.0,0,0,0,0,0,0
1534344696230.0,2.0,640.0,0,0,0,0,0
1534344697228,2.0,0,0,0,0,0,0
1534344697945.0,2.0,0,404.0,0,0,0,0
1534344698228,2.0,0,0,0,0,0,0
1534344699228,2.0,0,0,0,0,0,0
1534344700228,2.0,0,0,0,0,0,0
1534344701228,2.0,0,0,0,0,0,0
1534344702228,2.0,0,0,0,0,0,0
1534344703228,2.0,0,0,0,0,0,0
1534344703237.0,2.0,0,0,296.0,0,0,0
1534344704228,2.0,0,0,0,0,0,0
1534344705228,2.0,0,0,0,0,0,0
1534344706228,2.0,0,0,0,0,0,0
1534344706237.0,2.0,0,0,295.0,0,0,0
1534344707228,2.0,0,0,0,0,0,0
1534344708228,2.0,0,0,0,0,0,0
1534344709228,2.0,0,0,0,0,0,0
1534344710228,2.0,0,0,0,0,0,0
1534344711228,3.0,0,0,0,0,0,0
1534344711230.0,3.0,606.0,0,0,0,0,0
1534344712228,3.0,0,0,0,0,0,0
1534344712945.0,3.0,0,273.0,0,0,0,0
1534344713228,3.0,0,0,0,0,0,0
1534344713285.0,3.0,0,0,0,391.0,0,0
1534344714228,3.0,0,0,0,0,0,0
1534344714684.0,3.0,0,0,0,0,303.0,0
1534344715228,3.0,0,0,0,0,0,0
1534344715985.0,3.0,0,0,0,0,0,243.0
1534344716228,3.0,0,0,0,0,0,0
1534344717228,3.0,0,0,0,0,0,0
1534344717285.0,3.0,0,0,0,350.0,0,0
1534344718228,3.0,0,0,0,0,0,0
1534344719228,3.0,0,0,0,0,0,0
1534344720228,3.0,0,0,0,0,0,0
1534344721228,3.0,0,0,0,0,0,0
1534344721945.0,3.0,0,230.0,0,0,0,0
1534344722228,3.0,0,0,0,0,0,0
1534344723228,3.0,0,0,0,0,0,0
1534344723237.0,3.0,0,0,285.0,0,0,0
1534344724228,3.0,0,0,0,0,0,0
1534344725228,3.0,0,0,0,0,0,0
1534344726228,4.0,0,0,0,0,0,0
1534344726230.0,4.0,548.0,0,0,0,0,0
1534344727228,4.0,0,0,0,0,0,0
1534344727237.0,4.0,0,0,410.0,0,0,0
1534344727945.0,4.0,0,243.0,0,0,0,0
1534344728228,4.0,0,0,0,0,0,0
1534344729228,4.0,0,0,0,0,0,0
1534344730228,4.0,0,0,0,0,0,0
1534344731228,4.0,0,0,0,0,0,0
1534344732228,4.0,0,0,0,0,0,0
1534344733228,4.0,0,0,0,0,0,0
1534344733237.0,4.0,0,0,328.0,0,0,0
1534344734228,4.0,0,0,0,0,0,0
1534344734945.0,4.0,0,292.0,0,0,0,0
1534344735228,4.0,0,0,0,0,0,0
1534344736228,4.0,0,0,0,0,0,0
1534344736285.0,4.0,0,0,0,236.0,0,0
1534344737228,4.0,0,0,0,0,0,0
1534344737684.0,4.0,0,0,0,0,252.0,0
1534344738228,4.0,0,0,0,0,0,0
1534344739228,4.0,0,0,0,0,0,0
1534344739945.0,4.0,0,226.0,0,0,0,0
1534344740228,4.0,0,0,0,0,0,0
1534344741228,5.0,0,0,0,0,0,0
1534344741230.0,5.0,996.0,0,0,0,0,0
1534344743285.0,5.0,0,0,0,445.0,0,0
1534344744285.0,5.0,0,0,0,249.0,0,0
1534344745684.0,5.0,0,0,0,0,237.0,0
1534344745945.0,5.0,0,267.0,0,0,0,0
1534344747285.0,5.0,0,0,0,237.0,0,0
